STIX 사이트별 판매상위 TOP30 (2026-07-01)
============================================================

## 스마트스토어
  순위           매출액        수량  상품명
--------------------------------------------------------------------------------
   1       396,500         0  스팃스 E6000 투명 다용도 접착제 치약본드 110ml
   2       355,800         0  스팃스 8M 면사 자수실 447색 택1 프랑스자수 십자수 실 낱개 개별 선택
   3       266,200         0  스팃스 DMC 자수실 25번 면사 프랑스자수 십자수실 505색 택1
   4       177,400         0  50개,100개 / 프랑스자수 십자수 면사 자수실 자수용 DIY 공예 재료
   5       130,000         0  57 335 크로바 New 크래프트 확대경 핑크 1.6배 2배 세트 수예용 돋보기
   6       128,700         0  어린이 보석십자수 액자 포함 캐릭터 DIY 키트 32종 초등 만들기 집콕 취미
   7       120,000         0  스팃스 면사 자수실 447색 풀세트 프랑스자수실 십자수실 실번호 포함 DIY
   8       110,000         0  스팃스 DMC 자수실 25번 면사 십자수실 100색 세트
   9        87,000         0  원형 수틀 8cm~34cm /대나무 자수틀 프랑스자수 십자수 퀼트 수틀액자 인테리어 diy
  10        77,900         0  스팃스 DMC 자수실 25번 면사 베리에이션 60색 택1
  11        58,500         0  스팃스 DMC 자수실 19번사 80 태팅 레이스 실
  12        57,000         0  스팃스 JJP13550 존제임스 페블 자수 바늘 5-10호
  13        57,000         0  스팃스 57 560 크로바 원목 우드 대형 원형 수틀 38cm
  14        46,200         0  스팃스 36 631 크로바 HOBBY 핑킹가위 P210 톱니날5mm
  15        46,000         0  스팃스 키친 무지원단 실 십자수 패키지 도안 실 원단 포함 풀세트
  16        45,000         0  스팃스 평안부귀 사군자 재물운 보석십자수 도안형 DIY 키트 풍수 인테리어
  17        44,000         0  스팃스 독일 쯔바이원단 14ct 십자수 원단 컬러 1마
  18        44,000         0  스팃스 재물 요람 호랑이 무지원단 실 십자수 패키지 도안 실 원단 포함 풀세트
  19        41,400         0  [2+1사은품] 액자포함 어린이 캐릭터 보석십자수 30종 (택1)
  20        36,000         0  스팃스 보빈 25개 십자수 프랑스자수 자수실정리 화이트보빈
  21        36,000         0  스팃스 심플 린넨 무지 앞치마
  22        36,000         0  스팃스 황금 달빛 부엉이 보석십자수 도안형 DIY 키트 재물운
  23        35,000         0  스팃스 노을과 등대 무지원단 실 십자수 패키지 도안 실 원단 포함 풀세트
  24        33,000         0  스팃스 NEW 원목 우드 탁상형 후프용수틀 받침대 수틀미포함
  25        29,000         0  (보석십자수)성모 마리아 (전체비즈)
  26        28,800         0  스팃스 1/4마 9ct~28ct 십자수원단 아이다 화이트 면원단 9ct~28ct
  27        28,500         0  스팃스 너즈 터키 프리미엄 밤나무 원형 수틀 두께 1.6CM
  28        28,000         0  스팃스 빛나는 골드트리 보석십자수 도안형 DIY 키트 재물운
  29        28,000         0  (보석십자수) 전능하신 예수님
  30        27,500         0  스팃스 파리상점 캔디샵 무지원단 실 십자수 패키지 도안 실 원단 포함 풀세트

## 지마켓/옥션
  순위           매출액        수량  상품명
--------------------------------------------------------------------------------
   1     1,274,000       196  E6000 투명 다용도 접착제 치약본드 110ml
   2       495,000        30  캔버스판넬액자 보석십자수 30cmx40cm - 눈부시게 아름다운 튤립꽃 28칸비즈함증정
   3       495,000        30  스팃스 보석십자수 DIY 세트 30x40 모음 거실 인테리어 액자 만들기 28칸비즈함증정
   4       460,000        92  B7000 투명 다용도 접착제 치약본드 110ml
   5       434,500        59  뾰족캡포함 e6000 투명 다용도 접착제 치약본드 110ml 평일 4시이전 구매시 당일출고
   6       390,000         3  57-335 크로바 New 크래프트 확대경-핑크 1.6배2배 세트
   7       337,900        31  튤립 에띠모 모사용 그레이 12종 택1
   8       335,000        67  B7000 투명 다용도 접착제 치약본드 110ml 4시이전 당일발송
   9       298,300     2,983  핸드폰줄/휴대폰 고리 스트랩 열쇠고리줄
  10       294,800       134  B7000 투명 다용도 접착제 치약본드 15ml 평일 4시이전 당일발송
  11       285,200        62  E6000 투명 다용도 접착제 치약본드 30ml 평일 4시이전 당일발송
  12       238,000        17  2개세트 보석십자수 마무리용 코팅제 광택제 120ML 보석십자수 마감제
  13       226,200        29  42-405 크로바 아뮤레 코바늘 - 5호
  14       226,000         2  튤립 에띠모 모사용 그레이 코바늘 세트
  15       181,500        11  캔버스판넬액자 보석십자수 30cmx40cm - 눈부신 바닷가 일출 28칸비즈함증정
  16       174,400         8  40cmx50cm 홈데코 DIY 액자형 보석십자수 큐빅 비즈 구슬 캔버스형 28칸비즈함증정
  17       168,960        14  자수실 50p 100P 프랑스자수/십자수실/프랑스자수실
  18       166,800        10  자수실 50p 프랑스자수/십자수실/프랑스자수실
