지마켓/옥션 그룹관리 분류 (2026-07-01)
원본: 지마켓,옥션.xlsx
판매중 행: 2993 / 마스터 기준: 1000개

※ 그룹명칭 컬럼을 ESM 그룹관리 업로드 양식에 맞게 사용하세요.
※ 지마켓·옥션 동일 마스터는 같은 그룹으로 지정됨.

[그룹별 마스터 상품 수]
그룹명칭                                             마스터     행수
------------------------------------------------------------
십자수패키지 - 풍경,건물                                   131    382
기본부자재 - 챠코페이퍼,접착제,기타제품                            97    305
크로바 부자재 - 챠코페이퍼,접착제,기타제품                          82    268
보석십자수 도안형 - 풍경,건물                                 78    238
보석십자수 도안형 - 꽃,식물                                  49    142
십자수패키지 - 꽃,식물                                     42    134
도안,서적                                             40    100
크로바 부자재 - 바늘,실꿰기,골무                               40    126
보석십자수 도안형 - 종교.명화                                 38     88
기본부자재 - 바늘,실꿰기,골무                                 35    122
크로바 부자재 - 가위,리퍼                                   28     92
프린트십자수패키지 - 풍경,건물                                 27     54
크로바 부자재 - 펜,전사지,먹지                                25     86
크로바 부자재 - 코바늘,태팅                                  23     60
자수실 - 면사자수실                                       22     74
프린트십자수패키지 - 꽃,식물                                  20     40
크로바 부자재 - 요요,폼폼,직조기                               20     68
보석십자수 도안형 - 동물,캐릭터                                19     56
악세사리                                              16     58
자수실 - DMC면사,특수사                                   15     40
보석십자수 도안형 - 3개세트상품                                15     44
자수실 - 자수실세트                                       13     50
십자수패키지 - 동물,캐릭터                                   12     36
DMC 부자재                                           12     36
원단 - 십자수 원단                                       11     28
자수실 - 앵커,기타자수실                                    11     42
십자수패키지 - 인물감성                                      9     22
기본부자재 - 가위,리퍼                                      8     28
보석십자수 도안형 - 키즈,초급                                  7     18
정리함                                                7     26
튤립코바늘                                              6     12
수틀 - 타원형수틀                                         5     18
수틀 - 원형수틀                                          5     16
보석십자수 부자재                                          5     12
기본부자재 - 펜,전사지,먹지                                   5     16
기본부자재 - 코바늘,태팅                                     4     10
보석십자수 도안형 - 인물감성                                   3      8
본드 - B7000                                         3      6
프린트십자수패키지 - 동물,캐릭터                                 3      6
양모펠트 - 양모펠트 바늘                                     3     12
수틀 - 브랜드수틀                                         2      4
본드 - B6000                                         1      2
프린트십자수패키지 - 종교.명화                                  1      2
프린트십자수패키지 - 인물감성                                   1      2
양모펠트 - 양모펠트 부자재                                    1      4

총 그룹 수: 45
